origin_date,target,horizon,location,output_type,output_type_id,target_end_date,value
2017-12-16,ili perc,1,HHS Region 1,quantile,0.01,2017-12-23,1.2202123364914057
2017-12-16,ili perc,1,HHS Region 1,quantile,0.025,2017-12-23,1.4298210677301215
2017-12-16,ili perc,1,HHS Region 1,quantile,0.05,2017-12-23,1.5789503064768569
2017-12-16,ili perc,1,HHS Region 1,quantile,0.1,2017-12-23,1.698688899366791
2017-12-16,ili perc,1,HHS Region 1,quantile,0.15,2017-12-23,1.7744932831178772
2017-12-16,ili perc,1,HHS Region 1,quantile,0.2,2017-12-23,1.824567659335367
2017-12-16,ili perc,1,HHS Region 1,quantile,0.25,2017-12-23,1.877545028447712
2017-12-16,ili perc,1,HHS Region 1,quantile,0.3,2017-12-23,1.922568000609347
2017-12-16,ili perc,1,HHS Region 1,quantile,0.35,2017-12-23,1.961224344059262
2017-12-16,ili perc,1,HHS Region 1,quantile,0.4,2017-12-23,2.0010003976980726
2017-12-16,ili perc,1,HHS Region 1,quantile,0.45,2017-12-23,2.0435273022245495
2017-12-16,ili perc,1,HHS Region 1,quantile,0.5,2017-12-23,2.078681438253122
2017-12-16,ili perc,1,HHS Region 1,quantile,0.55,2017-12-23,2.120427304079312
2017-12-16,ili perc,1,HHS Region 1,quantile,0.6,2017-12-23,2.163046811915714
2017-12-16,ili perc,1,HHS Region 1,quantile,0.65,2017-12-23,2.208978281420199
2017-12-16,ili perc,1,HHS Region 1,quantile,0.7,2017-12-23,2.253427020632741
2017-12-16,ili perc,1,HHS Region 1,quantile,0.75,2017-12-23,2.300486899444018
2017-12-16,ili perc,1,HHS Region 1,quantile,0.8,2017-12-23,2.376212466408515
2017-12-16,ili perc,1,HHS Region 1,quantile,0.85,2017-12-23,2.46115813561184
2017-12-16,ili perc,1,HHS Region 1,quantile,0.9,2017-12-23,2.668661054194735
2017-12-16,ili perc,1,HHS Region 1,quantile,0.95,2017-12-23,3.643776076189357
2017-12-16,ili perc,1,HHS Region 1,quantile,0.975,2017-12-23,4.2129540972830295
2017-12-16,ili perc,1,HHS Region 1,quantile,0.99,2017-12-23,4.72278186724102
2017-12-16,ili perc,2,HHS Region 1,quantile,0.01,2017-12-30,0.987654806077851
2017-12-16,ili perc,2,HHS Region 1,quantile,0.025,2017-12-30,1.291684663385339
2017-12-16,ili perc,2,HHS Region 1,quantile,0.05,2017-12-30,1.4922470987311565
2017-12-16,ili perc,2,HHS Region 1,quantile,0.1,2017-12-30,1.6777554266864478
2017-12-16,ili perc,2,HHS Region 1,quantile,0.15,2017-12-30,1.79281843504793
2017-12-16,ili perc,2,HHS Region 1,quantile,0.2,2017-12-30,1.8877468537973976
2017-12-16,ili perc,2,HHS Region 1,quantile,0.25,2017-12-30,1.9707807741491763
2017-12-16,ili perc,2,HHS Region 1,quantile,0.3,2017-12-30,2.045499515499712
2017-12-16,ili perc,2,HHS Region 1,quantile,0.35,2017-12-30,2.1115934544952166
2017-12-16,ili perc,2,HHS Region 1,quantile,0.4,2017-12-30,2.175837153376348
2017-12-16,ili perc,2,HHS Region 1,quantile,0.45,2017-12-30,2.244023621027148
2017-12-16,ili perc,2,HHS Region 1,quantile,0.5,2017-12-30,2.3067159803282724
2017-12-16,ili perc,2,HHS Region 1,quantile,0.55,2017-12-30,2.3743834023759547
2017-12-16,ili perc,2,HHS Region 1,quantile,0.6,2017-12-30,2.438602486467699
2017-12-16,ili perc,2,HHS Region 1,quantile,0.65,2017-12-30,2.504904093771288
2017-12-16,ili perc,2,HHS Region 1,quantile,0.7,2017-12-30,2.5892874122198273
2017-12-16,ili perc,2,HHS Region 1,quantile,0.75,2017-12-30,2.6808620990491936
2017-12-16,ili perc,2,HHS Region 1,quantile,0.8,2017-12-30,2.7822527599935367
2017-12-16,ili perc,2,HHS Region 1,quantile,0.85,2017-12-30,2.967424148373969
2017-12-16,ili perc,2,HHS Region 1,quantile,0.9,2017-12-30,3.1680754030952416
2017-12-16,ili perc,2,HHS Region 1,quantile,0.95,2017-12-30,3.903092074349799
2017-12-16,ili perc,2,HHS Region 1,quantile,0.975,2017-12-30,4.563325341609333
2017-12-16,ili perc,2,HHS Region 1,quantile,0.99,2017-12-30,5.190325430327989
2017-12-16,ili perc,3,HHS Region 1,quantile,0.01,2018-01-06,0.9766114991565504
2017-12-16,ili perc,3,HHS Region 1,quantile,0.025,2018-01-06,1.2794523521072136
2017-12-16,ili perc,3,HHS Region 1,quantile,0.05,2018-01-06,1.4613366260557488
2017-12-16,ili perc,3,HHS Region 1,quantile,0.1,2018-01-06,1.6517708999948628
2017-12-16,ili perc,3,HHS Region 1,quantile,0.15,2018-01-06,1.770837348967938
2017-12-16,ili perc,3,HHS Region 1,quantile,0.2,2018-01-06,1.8608401038927551
2017-12-16,ili perc,3,HHS Region 1,quantile,0.25,2018-01-06,1.949834349537168
2017-12-16,ili perc,3,HHS Region 1,quantile,0.3,2018-01-06,2.0172576495732133
2017-12-16,ili perc,3,HHS Region 1,quantile,0.35,2018-01-06,2.080312977274851
2017-12-16,ili perc,3,HHS Region 1,quantile,0.4,2018-01-06,2.15491307273317
2017-12-16,ili perc,3,HHS Region 1,quantile,0.45,2018-01-06,2.224450339791862
2017-12-16,ili perc,3,HHS Region 1,quantile,0.5,2018-01-06,2.29139149852971
2017-12-16,ili perc,3,HHS Region 1,quantile,0.55,2018-01-06,2.356788673804082
2017-12-16,ili perc,3,HHS Region 1,quantile,0.6,2018-01-06,2.4324944782832136
2017-12-16,ili perc,3,HHS Region 1,quantile,0.65,2018-01-06,2.5031152551961684
2017-12-16,ili perc,3,HHS Region 1,quantile,0.7,2018-01-06,2.5892298972241257
2017-12-16,ili perc,3,HHS Region 1,quantile,0.75,2018-01-06,2.6991726951614567
2017-12-16,ili perc,3,HHS Region 1,quantile,0.8,2018-01-06,2.826008223054421
