origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.01,0
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.025,0.6081864333098732
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.05,1.3716998697787832
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.1,1.7772491174765634
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.15,2.1035412141734406
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.2,2.2648905894347635
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.25,2.3536485894347634
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.3,2.4043195894347633
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.35,2.4606961252967166
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.4,2.5019818519566996
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.45,2.548234472295718
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.5,2.5712697660998707
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.55,2.6128129728428924
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.6,2.6368675894347637
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.65,2.6663161230299908
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.7,2.7239525140715246
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.75,2.778291683412554
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.8,2.8834197033046025
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.85,3.0817395894347634
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.9,3.4288835768995973
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.95,4.019484886820555
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.975,4.590104379929161
2017-03-04,HHS Region 1,ili perc,1,2017-03-11,quantile,0.99,5.018393029434759
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.01,0
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.025,0.3006550105316415
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.05,0.9826241950781902
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.1,1.374911498451473
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.15,1.7670401820203834
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.2,1.908152206062298
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.25,1.9980608748331135
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.3,2.0549567475269477
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.35,2.1142514394347636
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.4,2.156864589434764
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.45,2.200864589434764
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.5,2.219669589434764
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.55,2.2546486555367267
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.6,2.2899965056994627
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.65,2.3237375894347636
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.7,2.371721523201286
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.75,2.4143212122783084
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.8,2.4762615894347637
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.85,2.5687542542603854
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.9,2.8909495894347637
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.95,3.5178928939732517
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.975,3.9556495894347634
2017-03-04,HHS Region 1,ili perc,2,2017-03-18,quantile,0.99,4.590676039302457
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.01,0
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.025,0
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.05,0.7149504277038753
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.1,1.2012527864002398
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.15,1.585475029596502
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.2,1.717411634741062
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.25,1.8036993851523666
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.3,1.8781435894347636
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.35,1.9253497894347635
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.4,1.9682920370656714
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.45,2.0025197733658437
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.5,2.0223140202331327
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.55,2.0471005894347636
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.6,2.0912945894347637
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.65,2.1247374752371417
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.7,2.167961866381407
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.75,2.2248930894347634
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.8,2.2945573253692046
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.85,2.4457345894347635
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.9,2.730847684914539
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.95,3.211163089434759
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.975,3.560549589434763
2017-03-04,HHS Region 1,ili perc,3,2017-03-25,quantile,0.99,4.4001734793024525
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.01,0
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.025,0.01798405521578328
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.05,0.7661488833590502
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.1,1.2088373152582834
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.15,1.5998396513946442
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.2,1.7374222623796964
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.25,1.8174909166563173
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.3,1.8820715894347635
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.35,1.9367506787859274
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.4,1.9817855894347636
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.45,2.016269239538329
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.5,2.0460105894347635
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.55,2.0698795894347635
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.6,2.1134083963782273
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.65,2.1548019394347637
2017-03-04,HHS Region 1,ili perc,4,2017-04-01,quantile,0.7,2.2292677559389156
